date,year,quarter,industry,subindustry,institutional_sector,gva_constant,gva_current,total_gva,industry_share_pct,qoq_growth_pct,yoy_growth_pct,industry_rank,rolling_avg_4q,growth_contribution,volatility,cumulative_gva
2024-01-01,2024-25,q4,"agriculture, livestock, forestry and fishing",not specified,total gross saving,3.774380215,9.440291935,9049961.108518334,4.1706037956863045e-05,-99.99948113204738,-99.99972645946889,10.0,691598.9432950538,-3.7743606309506545,40.41362319275788,25440177.062171437
2024-04-01,2024-25,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,547919.0665,1162510.318,10791802.79664104,5.077178269700595,14516695.746291818,-51.083418378325284,6.0,548551.4429200537,79539743819.72734,7258371.006623914,25988096.128671438
2024-07-01,2024-25,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,956616.8041,1055130.845,11845237.45349586,8.075961396769431,74.59089536903349,4.109436009541545,3.0,557991.4026700536,713549.039428823,7258355.58052811,26944712.932771437
2024-10-01,2024-25,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,775732.1706,1756996.13,10218171.035604276,7.591692954610298,-18.90878695886793,6.640703958582939,5.0,570067.9538950537,-146681.5435101559,7258355.259725247,27720445.103371438
2025-04-01,2025-26,q1,"agriculture, livestock, forestry and fishing",not specified,total gross saving,568374.3511,1199589.386,9178832.627800887,6.192229166250459,-26.73059431576963,15058646.568275979,5.0,712160.598075,-151929.8419874291,7258343.048039517,28288819.45447144
2025-07-01,2025-26,q2,"agriculture, livestock, forestry and fishing",not specified,total gross saving,492623.4729,1055598.282,9302391.644091813,5.295664725241683,-13.327638387164365,-10.091927253639376,7.0,698336.6996749999,-65655.07507840265,47.44271561475356,28781442.92737144
2025-10-01,2025-26,q3,"agriculture, livestock, forestry and fishing",not specified,total gross saving,1569606.536,1687985.523,15476576.0082,10.141820355926084,218.62195415901792,64.07892159878065,3.0,851584.13265,3431504.481610869,119.26552003682534,30351049.463371437
2011-01-01,2011-12,q4,construction,not specified,total gross saving,204132.572,208940.8711,4301423.11044,4.745698499283855,0.0,0.0,7.0,0.0,0.0,0.0,204132.572
2011-04-01,2011-12,q1,construction,not specified,total gross saving,186776.6357,182218.7489,3938264.8558900002,4.74261235682664,-8.502286592460106,0.0,7.0,0.0,-15880.284854969157,0.0,390909.2077
2011-07-01,2011-12,q2,construction,not specified,total gross saving,190701.4741,189095.7808,3826414.27375,4.983816713424154,2.1013540506768846,0.0,7.0,0.0,4007.3131507008798,0.0,581610.6818
2011-10-01,2011-12,q3,construction,not specified,total gross saving,195723.7805,197079.1481,4147791.06158,4.718747342722798,2.633596003230898,0.0,7.0,194333.615575,5154.5736606204155,0.0,777334.4623
2012-01-01,2012-13,q4,construction,not specified,total gross saving,209977.9034,231618.2419,4492506.422524471,4.673958891794022,7.282775176111023,2.8634976489690267,7.0,195794.948425,15292.218624133584,6.673071035063881,987312.3657
2012-04-01,2012-13,q1,construction,not specified,total gross saving,189865.8008,203182.4057,4149183.697652691,4.575979629617565,-9.578199550686628,1.6539355088083907,7.0,196567.23969999998,-18185.72527913317,7.1797032498577105,1177178.1665
2012-07-01,2012-13,q2,construction,not specified,total gross saving,186137.1545,202601.5575,4095824.506597485,4.544558835471916,-1.9638324986855582,-2.393436978681429,7.0,195426.1598,-3655.421932199548,7.1859235911512656,1363315.321
2012-10-01,2012-13,q3,construction,not specified,total gross saving,194069.2482,211962.6918,4355061.397125292,4.456177089216287,4.261424174720574,-0.8453404567259515,7.0,195012.526725,8270.113858493272,7.456475794100948,1557384.5692
2013-01-01,2013-14,q4,construction,not specified,total gross saving,209126.9829,243561.908,4697162.941710639,4.452197752029419,7.75894936454955,-0.4052428785228157,7.0,194799.7966,16226.056710821196,7.613636304004468,1766511.5521
2013-04-01,2013-14,q1,construction,not specified,total gross saving,198716.4373,221809.9958,4412465.533523093,4.50352384149586,-4.978097735469222,4.661522223964409,7.0,197012.45572499998,-9892.298465236418,5.7894006536225735,1965227.9894
2013-07-01,2013-14,q2,construction,not specified,total gross saving,194457.7755,224408.153,4387801.539031064,4.43178146892535,-2.1430848186809737,4.470155903237472,7.0,199092.610975,-4167.39506548523,5.823366230549456,2159685.7649
2013-10-01,2013-14,q3,construction,not specified,total gross saving,198469.6844,231689.9227,4629888.204322178,4.286705761377153,2.063125986957526,2.2674567149686187,7.0,200192.720025,4094.6796350889867,5.538000487779695,2358155.4493
2014-01-01,2014-15,q4,construction,not specified,total gross saving,214179.5139,242828.8882,4997229.954167832,4.285964741753943,7.915480667736685,2.4160110426381554,7.0,201455.852775,16953.338017006907,5.604889963853732,2572334.9632
2014-04-01,2014-15,q1,construction,not specified,total gross saving,209578.9505,247541.1584,4754315.445346664,4.408183531556107,-2.147994136427067,5.466338541285842,7.0,204171.48107500002,-4501.743567925386,4.762038133550542,2781913.9137
2014-07-01,2014-15,q2,construction,not specified,total gross saving,204911.7921,246390.441,4758720.083496482,4.306027429742001,-2.226921352962885,5.375982818439673,7.0,206784.985225,-4563.224453013814,4.7830966919194555,2986825.7058
2014-10-01,2014-15,q3,construction,not specified,total gross saving,206558.3682,242325.3851,4914026.632749397,4.203444214636472,0.8035536086651529,4.075526105890259,7.0,208807.156175,1659.8072216709538,4.7664014419266625,3193384.074
2015-01-01,2015-16,q4,construction,not specified,total gross saving,224843.0783,252607.78,5432905.286661215,4.138542205991171,8.852079080280028,4.9787975543631235,7.0,211473.047275,19903.28709765194,5.215571762600836,3418227.1523
2015-04-01,2015-16,q1,construction,not specified,total gross saving,218252.8273,253252.4357,5120390.113643242,4.262425761632242,-2.9310446422579517,4.138715638811252,7.0,213641.516475,-6397.0878011531495,5.400554058944998,3636479.9796
2015-07-01,2015-16,q2,construction,not specified,total gross saving,205790.4472,237074.174,5156457.61244469,3.9909267692483597,-5.710065823280175,0.42879674761284736,7.0,213861.18024999998,-11750.769993142632,6.323067900188557,3842270.4268
2015-10-01,2015-16,q3,construction,not specified,total gross saving,216448.5781,248149.3096,5274015.488085801,4.104056550250288,5.179118392041682,4.788094515940311,7.0,216333.732725,11210.128117689805,6.8096790496626385,4058719.0049
2016-01-01,2016-17,q4,construction,not specified,total gross saving,226632.1714,270473.4034,5803908.400888491,3.9048199204058083,4.704855716490375,0.7957074389512098,7.0,216781.006,10662.716671519163,5.470180725963536,4285351.1763
2016-04-01,2016-17,q1,construction,not specified,total gross saving,234541.3706,273537.9739,5597462.055325313,4.190137749604967,3.4898836961855917,7.463153399433642,7.0,220853.141825,8185.221053379626,5.133538340079045,4519892.5469
2016-07-01,2016-17,q2,construction,not specified,total gross saving,222843.9184,262498.383,5583995.722212486,3.9907609082426907,-4.987372662688793,8.286813810859917,7.0,225116.50962499998,-11114.05666674612,4.775940593636901,4742736.4653
2016-10-01,2016-17,q3,construction,not specified,total gross saving,232427.0672,274360.3387,5671235.64840239,4.098349665041262,4.300386058908923,7.3821178407639465,7.0,229111.1319,9995.261194999674,4.604004553944174,4975163.5325
2017-01-01,2017-18,q4,construction,not specified,total gross saving,258266.1396,324717.7504,6233203.378412149,4.143393435460001,11.117066833599832,13.958286683035336,7.0,237019.62395,28711.619347890242,6.600361621469365,5233429.6721
2017-04-01,2017-18,q1,construction,not specified,total gross saving,235401.3735,288042.9144,5876219.887781231,4.006000081608312,-8.853179954372925,0.3666742876960116,7.0,237234.624675,-20840.507211020536,9.031676164104377,5468831.0456
2017-07-01,2017-18,q2,construction,not specified,total gross saving,226647.3063,281258.1081,5893345.636374887,3.8458173045390094,-3.7187833995369624,1.7067496960688988,7.0,238185.47165,-8428.522402182092,8.798985506617548,5695478.3519
2017-10-01,2017-18,q3,construction,not specified,total gross saving,243990.8483,306395.0708,6065596.995801516,4.022536420881334,7.652216248731136,4.975229967536254,7.0,241076.416925,18670.707339029537,9.39418332131082,5939469.2002
2018-01-01,2018-19,q4,construction,not specified,total gross saving,275228.3858,361725.2441,6532017.894423168,4.21352773750025,12.802749659524814,6.567739087389057,7.0,245316.97847499998,35236.80122592514,9.985648457011244,6214697.586
2018-04-01,2018-19,q1,construction,not specified,total gross saving,251353.5342,326661.9023,6294293.128662696,3.9933560300106854,-8.674560049685109,6.776579279389816,7.0,249305.01864999998,-21803.813261184794,9.921302253603477,6466051.1202
2018-07-01,2018-19,q2,construction,not specified,total gross saving,239218.8802,316330.1901,6255112.122874398,3.824373976050685,-4.827723643760084,5.546756370163841,7.0,252447.912125,-11548.82643975351,10.147853180236106,6705270.0004
2018-10-01,2018-19,q3,construction,not specified,total gross saving,260988.3899,347401.4952,6386199.739896134,4.086755825527073,9.100247305647247,6.966466864814791,7.0,256697.297525,23750.588919926882,10.450467479752183,6966258.3903
2019-01-01,2019-20,q4,construction,not specified,total gross saving,281635.6713,370784.5085,6765017.144594635,4.16311836733528,7.91118769992456,2.327988619842425,7.0,258299.1189,22280.72658648556,8.960613144025372,7247894.0616
2019-04-01,2019-20,q1,construction,not specified,total gross saving,260990.2111,352126.8153,6586064.565056331,3.9627642353331183,-7.330555857751531,3.833913428220259,7.0,260708.288125,-19132.033207949135,8.496216354449897,7508884.2727
2019-07-01,2019-20,q2,construction,not specified,total gross saving,241819.6936,319091.0501,6519555.698153948,3.7091437637149527,-7.3453013502696844,1.0872107577067247,7.0,261358.491475,-17762.385219218813,9.160206730657771,7750703.9662999995
2019-10-01,2019-20,q3,construction,not specified,total gross saving,258983.834,336666.8703,6601578.972765508,3.9230589389057555,7.097908422790256,-0.7680632463260451,7.0,260857.35249999998,18382.435367151134,8.575739693423477,8009687.8003
2020-01-01,2020-21,q4,construction,not specified,total gross saving,336167.8459,486466.6766,5926912.380410746,5.671888233257516,29.80263698621437,19.362666081425473,5.0,274490.39615,100186.88277795353,17.538374924837875,8345855.6462
2020-04-01,2020-21,q1,construction,not specified,total gross saving,143771.4068,187319.9939,5215483.73461598,2.7566265013112154,-57.23225509117618,-44.913103754334635,7.0,245185.695075,-82283.61828794862,36.86261753744416,8489627.053
2020-07-01,2020-21,q2,construction,not specified,total gross saving,226576.1672,296145.5753,6176738.876057046,3.6682167037735627,57.59473475500554,-6.303674515945213,7.0,241374.813475,130495.94251689786,48.935769842507604,8716203.2202
2020-10-01,2020-21,q3,construction,not specified,total gross saving,288855.2244,389579.2244,6726569.789464727,4.294242584867107,27.487029183005806,11.534075289039091,7.0,248842.661075,79397.71982746491,49.68392080331955,9005058.4446
2021-01-01,2021-22,q4,construction,not specified,total gross saving,359818.907,575506.7575,7031936.312272883,5.11692499791282,24.56721450941497,7.035491760575896,6.0,254755.42635,88397.48272812236,49.21006358638618,9364877.3516
